_r,_RAJ2000,_DEJ2000,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP
2.5926,132.8335354901783,11.7576033345205,0.335,-2.61,-0.022,20.234873,20.928852,19.384644,1.544209,0.693979,0.850229
2.6051,132.791000038652,11.7721177946748,,,,21.095257,18.916489,18.660595,0.255894,-2.178768,2.434662
2.613,132.8151347955128,11.8424659593128,1.7466,-10.872,-2.294,19.87217,20.691938,18.723429,1.96851,0.819769,1.148741
2.6143,132.7890200076011,11.77434851126,,,,21.158104,,20.038364,,,1.11974
2.615,132.8695709673935,11.8006102840609,1.1273,-11.298,-3.282,13.629351,13.968946,13.118443,0.850504,0.339596,0.510908
2.6226,132.7913148692261,11.771378214427,1.1633,-10.716,-3.329,14.37958,14.726871,13.862721,0.864151,0.347292,0.516859
2.6254,132.822856565683,11.7563077560301,1.1716,-10.914,-2.751,9.258214,9.965839,8.447231,1.518608,0.707625,0.810983
2.6289,132.7982698878493,11.7649031661483,1.8121,-12.051,-1.43,15.322252,15.294358,14.192027,1.102331,-0.027894,1.130225
2.6403,132.7980205615934,11.7648029671865,,,,15.844581,,,,,
2.659,132.8361001526264,11.7570334551106,1.1885,-10.823,-2.171,15.50283,16.060444,14.797159,1.263285,0.557613,0.705671
2.6664,132.8199499534191,11.8441729486821,1.1341,-10.805,-3.086,13.021137,13.316854,12.562645,0.754209,0.295716,0.458492
2.6697,132.7842847877494,11.7802744927693,0.9751,-4.271,-3.864,20.402878,20.989136,19.356853,1.632282,0.586258,1.046024
2.6739,132.7826852910944,11.8164396000591,0.8135,0.343,2.382,20.665571,21.255049,19.623476,1.631573,0.589478,1.042095
2.6745,132.7908098670954,11.8294689506599,-0.3007,0.058,-5.441,19.753056,20.77115,18.678398,2.092753,1.018095,1.074657
2.688,132.798894830131,11.7632225155877,1.1514,-1.259,-3.544,20.5822,20.77924,19.517998,1.261242,0.197041,1.064201
2.6973,132.8707165217949,11.7952742256124,1.1318,-10.527,-3.086,15.419273,15.951048,14.728755,1.222293,0.531775,0.690518
2.7109,132.8070269319649,11.7584246526519,0.6609,-11.252,-4.23,20.34793,21.132772,19.137007,1.995766,0.784842,1.210924
2.7224,132.8110324847582,11.7567510858984,0.3784,-1.139,-3.043,18.467619,18.976791,17.814882,1.161909,0.509172,0.652737
2.7383,132.7861487628685,11.8253458664584,1.2578,-0.349,-26.086,14.620485,14.977159,14.089248,0.887911,0.356673,0.531238
2.7508,132.8585153141947,11.8320954044325,1.1177,-11.767,-3.334,14.533395,14.906114,13.987061,0.919053,0.372719,0.546334
2.7748,132.7916357761565,11.7673239666532,1.973,-13.025,-1.554,20.796164,20.884771,19.476767,1.408005,0.088608,1.319397
2.7844,132.8210002785743,11.846250515558,1.1663,-11.048,-3.2,10.845772,11.387247,10.152047,1.2352,0.541475,0.693725
2.7866,132.7854199316581,11.8257311654085,1.149,0.3,-26.231,16.789867,17.408293,15.918761,1.489532,0.618425,0.871106
2.7883,132.8680937827818,11.7804134346295,1.1555,-11.011,-2.846,14.733531,15.202493,14.103336,1.099156,0.468962,0.630195
2.7978,132.8267213645172,11.7534125421603,1.1156,-12.263,-3.245,20.516136,21.209116,19.090212,2.118904,0.69298,1.425924
2.8109,132.8101559397269,11.8445352829709,1.1304,-11.249,-2.923,13.237622,13.531313,12.78155,0.749763,0.293691,0.456072
2.8118,132.8718353578241,11.7900940154469,1.5393,-10.264,-3.203,20.355694,21.324213,19.050377,2.273836,0.968519,1.305317
2.8173,132.8313610640196,11.7534640733395,0.8537,-11.156,-2.458,16.145994,16.80923,15.331517,1.477714,0.663237,0.814477
2.8444,132.8490149690408,11.8412234399014,1.588,-9.936,-6.483,20.084476,20.949007,18.903948,2.045059,0.864531,1.180529
2.8465,132.8067006103933,11.8439225499334,1.0851,-11.074,-2.842,12.152578,12.39296,11.544252,0.848707,0.240381,0.608326
2.852,132.8541226700435,11.7619430181455,0.9105,-10.954,-3.055,13.971025,14.271558,13.511087,0.76047,0.300532,0.459938
2.8741,132.7768300573795,11.7918537549481,1.2212,-11.183,-2.87,16.073326,16.630234,15.356735,1.273499,0.556908,0.716591
2.8765,132.8350141892885,11.8469287166707,,,,20.953604,21.441113,19.906363,1.53475,0.487509,1.047241
2.8768,132.8672789488069,11.8243044057233,1.1684,-10.523,-2.399,12.667932,12.921003,12.262112,0.658892,0.253071,0.405821
2.8882,132.8028236256227,11.8429519409099,1.2027,-10.965,-2.801,13.486864,13.780144,13.030731,0.749413,0.29328,0.456133
2.9183,132.7859933049054,11.7699485951477,1.1187,-10.809,-3.097,13.283351,13.56995,12.836956,0.732994,0.286599,0.446395
